"seq_dict_md","arbr_gen_dict_md","cle_dict_md","acr_dict_md","arbr_simpl_dic_md","abr_feuil_dict_md","def_dict_md","stat_dict_md","mot_cle_dict_md","seq_dict_md_pere","arbr_gen_pere_dict_md","id_ty_md","seq_dom","seq_dict_md_prop","acr_sn_md","acron_mot_dict","verr_dict_md","det_equiv_dict_md","det_categ_dict_md","det_mc_dict_md","det_fils_dict_md"
2273,"MPO.LHIS","MPO.LHIS","LHIS","MPO.LHIS","MPO.LHIS","Stores the references to the life stage and molt code that describes an organism.",-1,NULL,NULL,NULL,1,853,NULL,"MPO","LHIS",0,0,3,0,0
2274,"MPO.TRPH","MPO.TRPH","TRPH","MPO.TRPH","MPO.TRPH","Stores the description of an organism position in the food chain.",-1,NULL,NULL,NULL,1,854,NULL,"MPO","TRPH",0,0,6,0,0
2275,"MPO.MNSV","MPO.MNSV","MNSV","MPO.MNSV","MPO.MNSV","Retention filter size (microns).",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","MNSV",0,0,6,0,0
2276,"MPO.MXSV","MPO.MXSV","MXSV","MPO.MXSV","MPO.MXSV","Largest sieve used (microns).",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","MXSV",0,0,6,0,0
2277,"MPO.SPFR","MPO.SPFR","SPFR","MPO.SPFR","MPO.SPFR","Fraction of sample (0.0-1.0)",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","SPFR",0,0,6,0,0
2278,"MPO.SEX_","MPO.SEX_","SEX_","MPO.SEX_","MPO.SEX_","Stores a listing of possible observed organism sex definitions.",-1,NULL,NULL,NULL,1,855,NULL,"MPO","SEX_",0,0,6,0,0
2279,"MPO.CNTS","MPO.CNTS","CNTS","MPO.CNTS","MPO.CNTS","Number of organisms counted.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CNTS",0,0,6,3,0
2280,"MPO.CPCT","MPO.CPCT","CPCT","MPO.CPCT","MPO.CPCT","Identifies the percentage of specified plankton.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","CPCT",0,0,6,0,0
2281,"MPO.WTWT","MPO.WTWT","WTWT","MPO.WTWT","MPO.WTWT","Wet weight of organisms (grams).",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","WTWT",0,0,6,3,0
2282,"MPO.DRWT","MPO.DRWT","DRWT","MPO.DRWT","MPO.DRWT","Dry weight of organisms (grams).",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","DRWT",0,0,6,3,0
2283,"MPO.BIOV","MPO.BIOV","BIOV","MPO.BIOV","MPO.BIOV"," Volume of Organisms (ml)",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","BIOV",0,0,6,3,0
2284,"MPO.PRSN","MPO.PRSN","PRSN","MPO.PRSN","MPO.PRSN","Indicates presence (1) or absence (0) of organism(s) if not counted.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","PRSN",0,0,6,0,0
2285,"MPO.LBSZ","MPO.LBSZ","LBSZ","MPO.LBSZ","MPO.LBSZ","Lower size fractioned bin size.",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","LBSZ",0,0,3,0,0
2286,"MPO.UBSZ","MPO.UBSZ","UBSZ","MPO.UBSZ","MPO.UBSZ","Size fractioned bin size (upper limit)",-1,NULL,NULL,NULL,1,NULL,NULL,"MPO","UBSZ",0,0,3,0,0
