Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,GF3_name,SDN:P01::Alternative Name
GF3,CPHL,"BIO,IML,MEDS",milligram per metre cube|mg/m^3,,,,,CPHLZZXX,,milligram per metre cube,,,mass_concentration_of_chlorophyll_a_in_sea_water,SDN:P01::CPHLZZXX,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],SDN:P06::UMMC,Milligrams per cubic metre,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],,CPHL,Chlorophyll-a
GF3,CPX1,MEDS,milligram per litre,,,,,,,milligram per litre,,,,,,SDN:P06::UMGL,Milligrams per litre,,,CPX1,
GF3,CRAT,"BIO,IML,MEDS",dimensionless,,,,,,,,,,,,,SDN:P06::UUUU,Dimensionless,,,CRAT,
GF3,CRC$,MEDS,,,,,,,,,,,,,,,,,,CRC$,
GF3,CSC1,MEDS,,,,,,,,,,,,,,,,,,CSC1,
GF3,CSC2,MEDS,,,,,,,,,,,,,,,,,,CSC2,
GF3,CSC3,MEDS,,,,,,,,,,,,,,,,,,CSC3,
GF3,CSID,MEDS,,,,,,,,,,,,,,,,Secondary sample label ie. common identifier label.,,CSID,
GF3,CSL$,MEDS,metre,,,,,,,metre,,,,,,SDN:P06::ULAA,Metres,,,CSL$,
GF3,CSN$,MEDS,,,,,,,,,,,,,,,,,,CSN$,
